v1 v2 v3 J Ka Kc      E                U           n1     n2       r
   1 3 1 10 6 4    13908.9948993913    1.397e-03     16     7       R+
   1 3 1 10 6 5    13910.2477185865    1.030e-03      3     2       R-
   1 2 2 0 0 0     13910.8907588946    8.333e-03      3     3       R+
   0 2 2 15 5 10   13911.4305029360    1.929e-02      6     2       R-
   3 0 0 13 10 4   13911.8086935487    6.811e-03      5     2       R-
   3 0 0 13 10 3   13911.8091795487    6.729e-03      6     3       R-
   2 0 1 13 10 4   13911.9954179670    6.137e-03     11     4       R-
   2 0 1 13 10 3   13911.9956309670    6.220e-03     11     2       R-
   1 4 1 6 2 4     13913.5175233435    1.672e-03     13     5       R+
   3 2 0 4 1 3     13914.3544484553    1.768e-03     13     8       R+
   2 0 0 19 14 5   13915.1178069388    1.096e-02      2     2       R-
   2 0 0 19 14 6   13915.1180969388    1.061e-02      2     2       R-
   4 0 0 2 1 1     13916.4832045889    1.963e-03     12     5       R+
   3 0 1 2 1 1     13919.1503311012    1.235e-03     42     8       R+
   0 0 3 13 8 6    13921.4438669359    1.140e-02      3     1       R-
   0 8 0 6 5 2     13921.4917722946    3.446e-03      2     1       R-
   0 1 3 8 6 3     13924.0011062100    4.132e-03      6     4       R+
   0 1 3 8 6 2     13924.0631421719    1.672e-03     17     7       R+
   0 0 2 23 4 19   13924.8638631212    1.401e-02      2     1       R-
   2 2 1 4 1 3     13925.2135982335    1.836e-03     53    16       R+
   0 3 1 19 7 13   13925.5884827319    1.055e-02      1     1       U 
   0 4 2 5 2 4     13926.0932735129    1.394e-02      2     2       R-
   0 2 1 26 1 25   13926.0963858537    1.330e-02     12     7       R-
   0 2 1 26 2 25   13926.0989028937    1.361e-02      3     2       R-
   2 4 0 8 0 8     13926.1449179488    3.133e-03      4     4       R+
   0 5 1 8 8 1     13927.5145419983    1.270e-03     16     8       R+
   0 5 1 8 8 0     13927.5192872799    1.273e-03     16     9       R+
   3 1 0 11 4 8    13929.0944814480    9.202e-03      2     2       R-
   0 0 2 22 7 16   13929.3783047557    2.054e-02      5     3       R-
   2 3 0 11 5 6    13932.0589916827    2.002e-03      2     2       R-
   0 2 0 25 14 12  13932.1459852540    1.581e-02      2     1       S 
   0 3 0 20 16 4   13932.2270176551    2.638e-03      7     2       R-
   0 3 0 20 16 5   13932.2270216551    2.638e-03      7     3       R-
   0 2 0 25 14 11  13932.3074995227    6.233e-03      8     2       R-
   2 4 0 4 4 1     13932.5686006162    1.179e-03      5     5       R+
   2 4 0 8 1 8     13933.6993637126    1.529e-03     10    10       R+
   1 2 2 1 0 1     13933.7852711511    1.675e-03      8     4       R+
   0 0 0 36 3 33   13935.4381463166    1.796e-03      8     3       R-
   0 0 0 36 4 33   13935.4382023166    1.800e-03      8     4       R-
   1 0 2 14 7 8    13939.0201076862    1.893e-02      2     1       R-
   2 1 1 11 4 8    13939.9709485830    2.986e-03     26    11       R+
   2 4 0 7 1 6     13941.5294655375    3.659e-03      2     1       R-
   0 4 1 15 7 9    13943.6127393209    6.814e-03     12     2       R-
   1 1 2 10 4 7    13944.4847541925    1.576e-03     15     8       R+
   0 3 2 11 4 8    13945.0358814480    3.402e-03      4     4       R+
   1 0 0 24 17 8   13945.4274169713    3.221e-03     10     6       R-
   1 0 0 24 17 7   13945.4274249713    3.221e-03     10     2       R-
   1 3 1 11 5 7    13946.9724868938    1.836e-03     20     7       R+
   0 2 1 23 6 18   13946.9870890955    1.566e-02      8     3       R-
   0 4 1 18 2 16   13948.5856110312    1.371e-02     13     5       R-
   0 6 1 11 1 11   13948.6175613462    6.099e-03      9     6       R-
   3 2 0 4 2 3     13948.7894674280    1.887e-03     25    10       R+
   4 0 0 2 2 1     13949.3959048496    1.534e-03     27     9       R+
   4 0 0 2 2 0     13950.7614696749    1.382e-03     21     8       R+
   3 2 0 5 0 5     13950.9145130727    1.557e-03     24     9       R+
   1 2 2 1 1 1     13950.9206226637    1.355e-03     10     6       R+
   3 0 1 2 2 1     13951.9000632243    1.642e-03     29     9       R+
   3 2 0 5 1 5     13953.1258362426    1.274e-03      9     6       R+
   3 0 1 2 2 0     13953.3096455495    1.116e-03     40    13       R+
   0 4 2 5 2 3     13953.3177549444    3.468e-03      3     2       R-
   0 0 1 26 13 14  13953.5229196943    7.188e-03      2     1       U 
   0 4 1 19 2 18   13953.6090104703    1.909e-02     13     6       R-
   0 0 1 26 13 13  13953.8760360107    7.732e-03      7     4       R-
   0 4 2 4 3 2     13954.6113561480    1.082e-03     20     9       R+
   0 4 2 4 3 1     13954.7929197386    1.043e-03     30    10       R+
   3 2 0 3 3 1     13955.3509884376    4.139e-03     15     8       R+
   3 2 0 3 3 0     13955.5764117347    1.924e-03     14     8       R+
   4 0 0 3 0 3     13956.0775356706    1.955e-03     21     9       R+
   1 2 2 1 1 0     13956.8008386185    1.023e-03      6     6       R+
   0 0 1 25 15 10  13956.9783706808    1.275e-02      3     2       R-
   0 0 1 25 15 11  13956.9787358076    2.917e-03      9     6       R-
   1 2 1 16 4 12   13957.3219752561    6.296e-03      9     3       R-
   2 2 1 4 2 3     13957.8270087888    1.647e-03     35    13       R+
   1 3 1 12 3 9    13958.0643997517    2.001e-03      6     2       R-
   3 0 1 3 0 3     13958.1702748501    1.287e-03     26    11       R+
   0 1 3 10 2 8    13959.0483788935    1.372e-03     15    11       R+
   1 0 2 15 4 11   13959.0720960731    1.006e-02      4     2       R-
   1 4 1 4 4 0     13959.3114066688    1.681e-03     37    11       R+
   0 0 3 15 4 12   13959.7619556831    1.143e-02      4     1       R-
   0 1 3 10 3 8    13959.9392977618    2.106e-03      8     4       R+
   0 4 1 18 3 16   13960.1539060656    1.638e-02      4     2       R-
   1 4 1 4 4 1     13960.3544723768    1.768e-03     32     9       R+
   4 0 0 3 1 3     13960.4918244501    1.304e-03     29    10       R+
   3 0 1 3 1 3     13962.2541918882    1.298e-03     34    11       R+
   2 2 1 5 0 5     13962.4429066445    1.456e-03     33    13       R+
   1 3 1 11 5 6    13963.0303814480    2.002e-03      1     1       U 
   2 2 1 3 3 0     13963.7902257733    1.418e-03     17     9       R+
   2 2 1 3 3 1     13963.8336439038    1.054e-03     42    10       R+
   3 2 0 4 2 2     13963.9876861836    2.835e-03     16     8       R+
   2 2 1 5 1 5     13964.2793444790    1.412e-03     43    14       R+
   1 1 0 21 16 6   13965.0269664692    1.161e-02      3     2       R-
   1 1 0 21 16 5   13965.0269664692    1.154e-02      3     3       R-
   0 0 0 32 12 21  13967.7564001744    7.329e-03      1     1       U 
   1 5 0 8 8 1     13968.9033857223    1.628e-03      4     4       R+
   1 5 0 8 8 0     13968.9033957223    1.572e-03      4     4       R+
   2 4 0 7 2 6     13971.8927579077    3.158e-03      3     2       R-
   0 7 1 3 0 3     13972.7245684725    2.705e-03      2     2       R-
   3 0 0 17 3 15   13973.2699756644    1.768e-02      2     2       R-
   0 1 0 26 18 8   13973.3762574865    4.498e-03      6     2       R-
   0 1 0 26 18 9   13973.3767224865    4.328e-03      6     3       R-
   3 0 0 17 2 15   13973.6201594373    1.488e-02      5     2       R-
   2 2 1 4 2 2     13974.1633964117    1.134e-03     56    17       R+
   0 6 1 8 3 5     13975.0845466187    1.009e-02      1     1       U 
   0 2 2 13 9 4    13976.0234660965    6.058e-03      3     2       R-
   3 1 0 11 4 7    13976.4416355123    1.985e-03     19     8       R+
   1 2 2 2 0 2     13978.2554577966    1.729e-03     12     7       R+
   1 4 1 8 0 8     13978.9672190237    1.336e-03     15     4       R-
   0 3 1 21 4 18   13980.3099877365    1.483e-02     11     5       R-
   0 2 1 22 8 15   13983.1677699652    1.430e-02      2     1       R-
   1 1 2 10 4 6    13983.3556049061    1.361e-03      7     5       R+
   1 0 2 17 1 16   13984.1981177295    6.317e-03      5     4       R-
   1 0 2 17 2 16   13984.2052891376    1.096e-02      2     2       R-
   1 3 1 9 7 2     13985.9276493104    3.528e-03      2     2       R-
   1 3 1 9 7 3     13986.0101928730    2.500e-03      6     3       R-
   1 4 1 8 1 8     13986.5215099093    4.001e-03      5     3       R-
   3 1 0 9 7 3     13986.5764323841    1.283e-02      4     4       R+
   3 1 0 9 7 2     13986.5790167627    1.167e-03      9     7       R+
   0 1 1 25 8 17   13987.5519214279    3.197e-02      2     1       R-
   0 1 3 9 5 5     13987.6655777272    1.206e-03     18     9       R+
   2 0 1 17 2 15   13988.3281305030    1.557e-02      5     2       R-
   0 3 2 14 1 14   13988.6856346700    1.459e-02      3     2       R-
   2 0 1 17 3 15   13989.3677285667    1.050e-02      9     2       R-
   0 0 3 14 6 8    13989.8397651623    1.918e-02      2     1       R-
   1 0 1 23 6 18   13990.0372711365    1.874e-02      3     2       R-
   4 0 0 3 1 2     13990.0645614051    1.483e-03     30    11       R+
   0 1 3 9 5 4     13990.7296705065    3.361e-03      5     3       R+
   1 2 2 2 1 2     13990.8459540298    1.467e-03     22     8       R+
   0 0 1 24 17 8   13991.5303899684    1.088e-02      2     2       R-
   0 0 1 24 17 7   13991.5303899684    1.088e-02      2     2       R-
   1 4 1 7 1 6     13991.5317641154    3.029e-03      3     3       R-
   1 1 2 8 7 1     13992.3046158777    1.544e-03     10     6       R+
   1 1 2 8 7 2     13992.3078111342    1.197e-03     12     9       R+
   3 0 1 3 1 2     13992.6724324033    1.345e-03     35    11       R+
   2 4 0 6 3 4     13992.9568022734    1.578e-03     11     6       R+
   1 0 1 23 5 18   13993.3615702426    1.966e-02      3     1       R-
   1 1 1 20 5 16   13995.1811418774    2.044e-02      1     1       U 
   1 1 1 20 4 16   13995.1860472941    1.776e-02      4     1       R-
   2 1 1 11 4 7    13996.3566962767    1.264e-03     17     8       R+
   2 4 0 6 3 3     13997.5418918013    4.000e-03      1     1       U 
   0 0 1 32 1 31   13998.5621099293    1.783e-03      9     6       R-
   0 0 1 32 2 31   13998.5621319293    1.766e-03      9     4       R-
   0 3 2 11 4 7    13998.7943243232    2.002e-03      2     2       R-
   3 1 0 10 6 5    13999.5289649306    4.371e-03      4     4       R-
   1 0 0 23 19 4   14000.0492436404    7.568e-03      8     5       R-
   1 0 0 23 19 5   14000.0492436404    7.568e-03      8     2       R-
   1 6 0 7 4 3     14001.6213017863    1.160e-02      2     2       R-
   3 1 0 10 6 4    14003.7103938498    8.544e-03     10     6       R+
   2 1 1 10 6 5    14004.4893925220    1.414e-03     13     8       R+
   3 0 0 15 7 8    14004.7587022237    2.279e-02      4     2       R-
   2 1 1 10 6 4    14004.8535617768    2.626e-03      7     5       R+
   2 0 1 15 7 9    14005.5998250362    1.039e-02      1     1       U 
   1 2 2 2 1 1     14008.4574730776    1.652e-03     11     6       R+
   0 1 1 21 16 6   14009.8988880190    6.308e-03      5     4       R-
   0 1 1 21 16 5   14009.8988920190    6.308e-03      5     3       R-
   0 3 2 12 3 10   14014.7763474323    6.288e-03      3     3       R-
   0 7 1 1 1 1     14015.0566735875    7.853e-02      2     1       R-
   0 0 1 27 11 17  14015.7338838928    3.937e-03      4     4       R-
   2 0 0 18 16 3   14016.1435221175    1.156e-02      2     2       R-
   2 0 0 18 16 2   14016.1435231175    1.156e-02      2     2       R-
   4 0 0 3 2 2     14016.5658311525    1.156e-03     28    10       R+
   3 0 1 3 2 2     14018.9373970128    1.547e-03     52    11       R+
   1 4 1 7 2 6     14019.5128881016    3.138e-03     10     5       R-
   0 2 0 22 19 4   14021.2190757261    3.220e-03     11     4       R-
   0 2 0 22 19 3   14021.2190787261    3.209e-03     10     3       R-
   4 0 0 3 2 1     14022.8034942474    1.505e-03     32    10       R+
   0 0 1 33 1 33   14023.2222057424    2.014e-03      8     4       R-
   0 0 1 33 0 33   14023.2222337424    1.996e-03      7     4       R-
   0 5 1 14 2 12   14024.2038895922    1.052e-02     12     3       R+
   1 1 2 9 6 3     14024.6211284229    2.340e-03      6     5       R+
   1 1 2 9 6 4     14025.2279423574    1.608e-03      6     5       R+
   3 0 1 3 2 1     14025.3486350549    1.386e-03     52    13       R+
   0 4 2 6 1 5     14025.6278097118    1.485e-03      3     3       R-
   0 2 1 21 10 12  14025.7030035579    1.706e-02      5     2       R-
   0 4 2 7 0 7     14026.3092844840    1.763e-03      5     4       R+
   1 0 1 25 3 23   14026.6725743103    3.457e-03     12     7       R-
   1 0 1 25 2 23   14026.6727794214    3.848e-03     10     3       R-
   3 1 0 12 3 10   14027.4308705344    1.420e-03     15    10       R+
   0 2 2 19 0 19   14027.9205271668    1.245e-02     11     5       R-
   0 1 3 11 1 10   14027.9262339405    1.589e-03      8     6       R+
   0 1 3 11 2 10   14028.0630240487    8.631e-04     11     7       R-
   0 0 1 23 19 4   14029.0015502207    1.048e-02      7     2       R-
   0 0 1 23 19 5   14029.0015502207    1.048e-02      7     3       R-
   1 3 1 12 4 9    14029.6831287927    2.002e-03      1     1       U 
   1 4 1 6 3 4     14029.7371133773    2.251e-03      8     3       R-
   1 0 0 22 21 2   14029.9742573457    3.778e-03      9     5       R-
   1 0 0 22 21 1   14029.9742573457    3.778e-03      9     2       R-
   0 4 2 7 1 7     14030.1210893012    2.000e-03      8     3       R-
   0 5 1 13 4 10   14031.8287112638    2.003e-03     10     5       R-
   0 0 1 22 21 2   14033.4126532773    4.519e-03      7     2       R-
   0 0 1 22 21 1   14033.4126532773    4.519e-03      7     3       R-
   3 2 0 5 1 4     14035.0283525947    1.157e-03     18     9       R+
   4 0 0 4 0 4     14035.2558564682    1.169e-03     14     9       R+
   0 1 2 21 2 19   14035.5177461190    1.445e-03      6     3       R-
   1 4 1 6 3 3     14035.9263874744    1.075e-03     26     9       R+
   4 0 0 4 1 4     14036.3662173062    1.555e-03     37    14       R+
   2 1 1 12 3 10   14037.5814845364    1.731e-03      7     6       R+
   3 0 1 4 0 4     14038.2648721054    1.309e-03     52    10       R+
   3 0 1 4 1 4     14039.3838732435    1.014e-03     38    12       R+
   2 1 1 12 2 10   14040.2000444760    1.946e-03     23     9       R+
   1 1 2 11 3 9    14040.4898018873    1.855e-03      8     5       R+
   0 5 1 10 7 3    14040.6950084141    1.955e-02      5     2       R-
   2 0 1 16 4 12   14040.8077818026    1.123e-02      8     2       R-
   1 1 2 11 2 9    14041.9409207384    2.000e-03     14     6       R+
   1 3 1 8 8 1     14042.0605393438    1.734e-03      3     3       R+
   1 3 1 8 8 0     14042.0605483438    1.734e-03      3     3       R+
   1 2 2 3 0 3     14042.0928154335    1.426e-03     18     8       R+
   0 2 2 15 6 9    14042.4704800811    1.910e-02      2     1       R-
   0 3 1 22 2 20   14042.5256175311    1.123e-02      6     3       R-
   0 1 3 12 1 12   14042.6633572900    1.111e-02      9     5       R+
   0 1 3 12 0 12   14042.6770807149    1.118e-03      9     5       R+
   1 6 0 12 1 12   14043.1346504910    1.752e-03      8     4       R+
   2 2 1 5 1 4     14045.6806098452    1.543e-03     33    13       R+
   2 4 0 7 2 5     14047.2858009426    4.000e-03      1     1       U 
   3 0 0 18 2 17   14047.9846172379    1.728e-02      8     2       R-
   3 2 0 4 3 2     14049.0189154801    1.853e-03     32     8       R+
   1 2 2 3 1 3     14049.9678479152    1.373e-03      7     3       R+
   3 2 0 4 3 1     14049.9852464255    1.581e-03     13     8       R+
   2 4 0 5 4 2     14050.0597884436    5.419e-03      3     2       R-
   2 3 0 12 4 8    14050.2809213481    2.002e-03      1     1       U 
   1 3 1 15 1 15   14050.4665143592    6.142e-03     10     3       R-
   2 0 0 26 1 25   14050.7470062656    1.525e-02      3     3       R-
   2 0 0 26 2 25   14050.7528832656    1.937e-02      1     1       U 
   0 1 0 25 20 5   14050.8406415041    5.383e-03      6     3       R-
   0 1 0 25 20 6   14050.8406415041    5.383e-03      6     2       R-
   1 2 1 12 11 1   14050.9194625526    1.934e-02      8     2       R-
   1 2 1 12 11 2   14050.9204027748    1.840e-02      8     2       R-
   1 3 1 15 0 15   14050.9515335660    1.009e-02      9     1       R-
   2 4 0 5 4 1     14050.9710439837    5.505e-03      3     3       R-
   0 3 2 13 1 12   14051.1092501803    6.028e-03      3     3       R-
   0 5 1 15 2 14   14056.1293156442    6.036e-03     13     5       R-
   3 0 0 16 5 12   14057.0270037335    1.553e-02      2     1       R-
   2 2 1 4 3 2     14057.2074291520    1.562e-03     29    12       R+
   1 2 2 2 2 1     14058.2148177853    1.372e-03     21     8       R+
   2 2 1 4 3 1     14058.2911822172    1.002e-03     44    11       R+
   1 2 2 2 2 0     14059.5025900454    1.687e-03     11     6       R+
   0 1 2 23 1 23   14060.3451248360    1.544e-02      1     1       U 
   0 1 2 23 0 23   14060.3513108360    1.131e-02      7     3       R-
   3 2 0 5 2 4     14060.9100995648    1.104e-03     22    10       R+
   0 4 2 6 2 5     14061.7536561507    8.000e-03      4     2       R-
   3 0 0 12 12 0   14061.9471764277    6.393e-03      5     2       R-
   3 0 0 12 12 1   14061.9473014277    6.311e-03      5     3       R-
   2 1 1 9 8 1     14061.9543767667    1.023e-03      6     3       R-
   2 1 1 9 8 2     14061.9548060499    1.496e-03      7     5       R+
   0 7 1 4 0 4     14062.5031979804    1.014e-02      1     1       U 
   2 0 1 12 12 0   14062.9385911031    6.405e-03      5     3       R-
   2 0 1 12 12 1   14062.9385911031    6.405e-03      5     2       R-
   2 0 1 18 2 17   14063.3991241660    1.239e-02      3     2       R-
   2 0 1 18 1 17   14063.5605221128    1.314e-02      8     2       R-
   0 2 0 28 9 20   14064.0679897179    1.486e-02      3     2       R-
   3 2 0 6 0 6     14065.0214743268    1.702e-02      3     3       R-
   0 7 0 12 4 8    14065.1261213481    2.002e-03      1     1       U 
   0 3 1 20 5 15   14065.1933734445    6.423e-03     14     6       R-
   1 1 1 19 7 12   14065.3324260803    1.885e-02      2     1       R-
   3 2 0 6 1 6     14066.0872961664    1.278e-03     18     9       R+
   0 2 3 0 0 0     14066.1940968851    1.236e-03      5     5       R+
   0 6 1 5 5 0     14066.3844913545    1.463e-03      3     3       R+
   0 6 1 5 5 1     14066.3889261872    3.259e-03      3     3       R+
   2 2 1 5 2 4     14067.9700926774    1.615e-03     44    13       R+
   0 1 3 10 3 7    14068.8516729240    1.353e-03     12     9       R+
   0 3 0 21 15 7   14069.0335999365    8.443e-03      4     2       R-
   0 3 0 21 15 6   14069.0341399364    8.317e-03      5     2       R-
   0 4 1 16 6 10   14070.1922229209    1.330e-02      8     3       R-
   2 0 0 27 0 27   14070.9252285325    1.167e-02      5     3       R-
   2 0 0 27 1 27   14070.9260223659    1.088e-02      5     2       R-
   1 1 1 17 11 7   14071.2602752825    1.215e-02      3     1       R-
   1 0 2 14 8 7    14073.3907138856    1.577e-02      6     2       R-
   0 4 2 5 3 3     14073.4608032869    6.977e-03      9     7       R+
   3 0 0 19 1 19   14074.7524510590    1.687e-02      5     2       R-
   3 0 0 19 0 19   14074.7527730590    1.720e-02      5     3       R-
   0 3 2 9 7 2     14075.0972845579    1.756e-03      7     5       R-
   0 3 2 9 7 3     14075.1058368295    1.952e-02      4     4       R-
   0 4 2 5 3 2     14076.1241440050    1.457e-03     44    12       R+
   2 2 1 6 0 6     14076.4834285369    1.021e-03     44    14       R+
   2 4 0 9 1 9     14077.0186176422    6.100e-03      2     2       R-
   2 2 1 6 1 6     14077.4770834307    1.016e-03     29    12       R+
   0 3 1 23 2 22   14079.3559628295    1.046e-02     11     5       R-
   1 4 1 5 4 1     14079.8292135683    1.081e-03     10     6       R+
   0 1 1 24 11 13  14080.3841263011    1.883e-02      2     1       R-
   1 4 1 5 4 2     14081.5082896854    1.195e-03     20     8       R+
   0 3 2 10 6 5    14082.0456460088    1.029e-02      3     1       R-
   0 2 0 24 16 8   14082.6011375039    3.200e-03      4     1       R-
   0 2 0 24 16 9   14082.7741021706    1.062e-02      5     2       R-
   0 1 3 10 4 7    14083.0983654631    1.505e-03      3     2       R-
   0 0 3 16 2 14   14083.9128321233    1.984e-02      4     1       R-
   3 1 0 11 5 7    14084.1713082331    6.102e-03      3     3       R-
   4 0 0 3 3 1     14084.3292403178    1.719e-03     20     9       R+
   0 1 2 22 2 21   14084.4421491890    1.542e-02      5     2       R-
   4 0 0 3 3 0     14084.4672957229    1.471e-03     31     9       R+
   0 1 1 27 5 23   14084.8796816943    3.484e-03      9     4       R-
   0 1 1 27 4 23   14084.9103566587    2.082e-02      1     1       U 
   1 2 2 3 1 2     14085.0190113569    1.933e-03     15     6       R+
   0 1 0 33 4 29   14085.0977414804    1.848e-03      2     2       R-
   4 0 0 4 1 3     14085.8580487016    1.386e-03     21    10       R+
   1 1 0 20 18 2   14086.1984276951    3.954e-03      7     2       R-
   1 1 0 20 18 3   14086.1984306951    3.954e-03      7     4       R-
   1 1 2 10 5 6    14086.2236663669    1.940e-03      6     4       R+
   0 2 2 18 2 17   14086.4604485068    1.992e-02      9     4       R-
   3 0 1 3 3 1     14086.6972580787    1.132e-03     25    11       R+
   3 1 0 13 1 12   14086.8046491803    6.028e-03      4     3       R-
   3 0 1 3 3 0     14086.9497627297    1.924e-03     24     9       R+
   0 1 0 24 22 2   14086.9924764743    5.297e-03      6     2       R-
   0 1 0 24 22 3   14086.9924954743    5.295e-03      6     3       R-
   3 1 0 14 1 14   14087.6282144251    6.025e-03      6     3       R-
   3 0 1 4 1 3     14088.3253805567    1.001e-03     45    12       R+
   0 2 3 1 0 1     14089.4103690706    1.169e-03     11     6       R+
   0 8 0 7 5 3     14089.4940676422    5.000e-03      1     1       U 
   2 1 1 11 5 7    14089.8416040091    1.754e-03     24    11       R+
   3 1 0 11 5 6    14090.3664951438    1.695e-03     14     9       R+
   1 2 1 13 10 4   14090.3952229670    6.137e-03      8     3       R-
   1 2 1 13 10 3   14090.3956129670    6.220e-03      7     2       R-
   3 2 0 5 2 3     14090.5971538499    1.808e-03     35    10       R+
   0 1 3 8 7 1     14090.6748302183    1.316e-03     12     7       R+
   0 1 3 8 7 2     14090.6785493764    6.328e-03     12     4       R-
   1 0 2 15 5 10   14091.5972463744    1.739e-02      6     2       R-
   1 3 1 12 4 8    14093.3228160542    4.527e-03     11     4       R+
   2 0 1 19 1 19   14093.4687596269    1.078e-02     11     3       R-
   2 0 1 19 0 19   14093.4692803191    1.022e-02     11     2       R-
   2 4 0 9 0 9     14093.6222731742    4.019e-03      4     4       R+
   1 4 1 7 2 5     14097.2048715495    2.035e-02      2     2       R-
   0 2 0 21 21 1   14097.8925373187    6.167e-03      8     2       R-
   0 2 0 21 21 0   14097.8925373187    6.167e-03      8     3       R-
   0 0 0 37 2 35   14099.7806832757    2.360e-03      8     4       R-
   0 0 0 37 3 35   14099.7806842757    2.350e-03      6     3       R-
   2 1 1 13 2 12   14100.2377208307    5.193e-03     26     9       R-
   2 1 1 13 1 12   14100.2699551252    4.749e-03      6     3       R-
   1 1 2 12 1 11   14100.9798750915    2.047e-03      3     2       R-
   2 2 1 5 2 3     14101.0998810126    1.947e-03     36    13       R+
   1 1 2 12 2 11   14101.5956326540    2.589e-03      7     4       R-
   0 0 2 24 4 21   14101.9851882488    1.976e-02      2     2       R-
   0 0 2 24 3 21   14102.0053047289    1.057e-02      1     1       U 
   2 1 1 14 0 14   14102.3563215951    3.060e-04     24    11       R-
   2 1 1 14 1 14   14102.3578319930    3.251e-04     13     7       R-
   2 1 1 11 5 6    14102.6165456225    1.099e-03     13     7       R+
   1 3 1 13 3 11   14103.3741951984    7.440e-03     11     4       R-
   1 1 1 15 14 1   14103.3957119525    6.380e-03      4     2       R-
   1 1 1 15 14 2   14103.3957119525    6.380e-03      4     3       R-
   0 2 3 1 1 1     14104.5620266129    1.337e-03     12     7       R+
   4 0 0 4 2 3     14104.9007545849    1.025e-03     49    15       R+
   1 0 2 12 11 1   14105.0273210628    6.009e-03      4     2       R+
   1 0 2 12 11 2   14105.0273270628    6.009e-03      4     3       R+
   0 1 1 20 18 2   14106.1432215869    1.134e-02      2     2       R-
   0 1 1 20 18 3   14106.1432215869    1.134e-02      2     2       R-
   0 0 3 13 9 5    14106.2382447531    1.380e-02      2     1       R-
   3 0 1 4 2 3     14107.0813577540    1.405e-03     38    12       R+
   1 1 2 13 0 13   14108.7262109182    6.090e-03     10     2       R-
   0 3 2 8 8 0     14108.9207033156    2.453e-03      7     3       R+
   0 3 2 8 8 1     14108.9207893156    2.449e-03      7     5       R+
   0 2 3 1 1 0     14110.5853095932    1.116e-03     11     6       R+
   1 1 2 10 5 5    14112.1657799231    1.399e-03      5     5       R+
   1 3 1 13 2 11   14112.9459075716    1.234e-02      2     1       R-
   0 1 1 25 9 17   14113.8008419475    1.657e-02      4     3       R-
   1 0 1 26 2 25   14114.4811645325    3.808e-03      9     4       R-
   1 0 1 26 1 25   14114.4812275325    3.672e-03      9     7       R-
   1 6 0 9 3 7     14114.7472176422    1.950e-03      2     2       R-
   0 1 0 29 13 16  14116.8356820013    7.235e-03      5     1       R-
   0 1 0 29 13 17  14117.4527288729    6.157e-03      3     1       U 
   1 0 1 22 9 13   14117.9477387908    2.031e-02      4     2       R-
   0 0 1 28 8 20   14120.4727774928    1.297e-02      6     4       R-
   1 0 2 16 3 13   14120.9117227334    2.239e-02      2     1       R-
   4 0 0 4 2 2     14120.9127540607    1.166e-03     26     7       R+
   0 6 1 10 2 9    14121.5131077632    2.500e-03      2     2       R-
   1 3 1 14 1 13   14121.6805335333    1.061e-02      9     3       R-
   1 2 2 4 0 4     14123.3982621441    1.675e-03     14     6       R+
   3 0 1 4 2 2     14123.5425461783    1.716e-03     47    15       R+
   1 0 2 16 4 13   14123.7819862006    6.266e-03      7     3       R-
   0 0 1 30 4 26   14124.4303985959    3.680e-03      6     3       R-
   0 0 1 30 5 26   14124.4304232626    2.043e-02      1     1       U 
   0 1 1 23 13 11  14124.5207891314    1.109e-02      2     2       R-
   0 0 0 26 25 2   14124.7907321384    4.980e-03      8     4       R-
   0 0 0 26 25 1   14124.7907321384    4.980e-03      8     2       R-
   2 4 0 8 1 7     14126.4305203891    4.000e-03      1     1       U 
   1 2 2 3 2 2     14126.9390121653    1.525e-03     17     6       R+
   1 2 2 4 1 4     14127.6342031551    1.205e-03     21     7       R+
   0 2 0 34 0 34   14128.3091031485    2.222e-03      7     3       R-
   0 2 0 34 1 34   14128.3091581485    2.360e-03      7     3       R-
   0 3 0 19 18 1   14130.3771446354    4.700e-03      6     3       R-
   0 3 0 19 18 2   14130.3771446354    4.700e-03      6     2       R-
   4 0 0 5 0 5     14131.1357086868    1.653e-03     30    11       R+
   4 0 0 5 1 5     14131.4891310088    1.897e-03      9     8       R+
   1 3 1 14 2 13   14132.2932399952    2.001e-02      1     1       U 
   1 2 2 3 2 1     14132.9061826293    1.532e-03     27     8       R+
   0 2 1 24 4 20   14133.2215024282    1.506e-02     12     4       R-
   2 0 1 13 11 3   14133.7885839670    6.204e-03      9     4       R-
   2 0 1 13 11 2   14133.7886109670    6.205e-03      9     2       R-
   3 0 1 5 0 5     14133.8963209993    1.641e-03     34    14       R+
   3 0 1 5 1 5     14134.2460070714    1.655e-03     52    17       R+
   0 2 3 2 0 2     14134.3349556624    1.694e-03     17     7       R+
   3 0 0 13 11 3   14134.8654203764    6.171e-03      7     2       R-
   3 0 0 13 11 2   14134.8654363764    6.170e-03      7     4       R-
   2 1 1 10 7 4    14135.2002300887    5.112e-03      6     5       R+
   2 1 1 10 7 3    14135.2118284829    1.506e-03     22    10       R+
   0 4 2 4 4 1     14136.8016454540    6.069e-03      3     3       R-
   3 1 0 10 7 4    14137.5713908564    2.001e-03      1     1       U 
   1 1 2 9 7 2     14137.7352555951    1.656e-03      9     6       R+
   3 1 0 10 7 3    14137.8674356183    7.499e-03      2     2       R-
   1 1 2 9 7 3     14137.9999279897    2.314e-03      3     2       R-
   1 0 1 27 1 27   14139.1416288658    3.582e-03     11     6       R-
   1 0 1 27 0 27   14139.1418031992    3.347e-03     11     3       R-
   1 2 1 14 9 5    14139.3477426383    6.158e-03      4     2       R-
