v1 v2 v3 J Ka Kc      E                U           n1     n2       r
   0 0 0 11 11 1    3216.1931166001    1.347e-04     98    28       R-
   0 2 0 2 0 2      3221.9611092656    1.792e-05     66    21       R+
   0 1 0 10 4 7     3224.5465266551    1.665e-05    200    42       R+
   0 2 0 2 1 2      3237.9172778641    1.526e-05    109    24       R+
   0 0 0 15 4 11    3244.6006826565    7.062e-05    167    35       R-
   0 1 0 10 4 6     3253.7379525249    1.794e-05    115    35       R+
   0 2 0 2 1 1      3255.3459909159    1.806e-05     57    22       R+
   0 0 0 14 7 8     3264.3374580193    7.118e-05    214    43       R-
   0 0 0 14 7 7     3266.5142943619    2.763e-04    105    32       R+
   0 0 0 12 10 3    3266.7643896905    1.344e-04    125    40       R-
   0 0 0 12 10 2    3266.7643899873    1.351e-04    118    25       R-
   0 0 0 15 5 11    3269.5387870716    8.028e-05    119    32       R-
   0 2 0 3 0 3      3289.2424794807    1.512e-05    101    29       R+
   0 0 0 17 1 16    3291.1485368513    3.775e-05    129    39       R-
   0 0 0 17 2 16    3291.1503133236    3.950e-04     78    30       R-
   0 2 0 3 1 3      3299.9910112233    1.965e-05     95    25       R+
   0 1 0 8 7 2      3306.2951571342    1.381e-05    152    42       R+
   0 1 0 8 7 1      3306.2954817789    1.253e-05    127    34       R+
   0 1 0 11 2 9     3314.8556340693    1.014e-05    186    44       R+
   0 2 0 2 2 1      3316.1452327314    1.423e-05     97    26       R+
   0 2 0 2 2 0      3317.2105923630    1.820e-05     64    24       R+
   0 0 0 18 0 18    3319.4476028056    1.485e-04     98    25       R-
   0 0 0 18 1 18    3319.4476418056    1.077e-04    116    36       R-
   0 1 0 9 6 4      3320.9297447113    1.265e-05    107    35       R+
   0 1 0 9 6 3      3321.0133006732    1.250e-05    165    38       R+
   0 1 0 11 3 9     3323.2698300224    2.946e-05    130    36       R-
   0 2 0 3 1 2      3334.6265217104    1.221e-05    107    28       R+
   0 0 0 13 9 5     3347.7826612615    2.508e-04     99    29       R+
   0 0 0 13 9 4     3347.7832884269    1.045e-04    150    35       R-
   0 0 0 15 5 10    3360.6004041426    1.393e-04    165    35       R+
   0 2 0 4 0 4      3375.2979118959    1.873e-05     93    25       R+
   0 2 0 4 1 4      3381.7041978146    1.328e-05    131    31       R+
   0 1 0 10 5 6     3383.2654292737    1.259e-05    191    39       R+
   0 1 0 12 1 11    3386.0523424733    2.763e-05    103    32       R-
   0 1 0 12 2 11    3386.3794513529    1.881e-05    172    44       R+
   0 1 0 10 5 5     3387.4006405969    2.279e-05    102    34       R+
   0 2 0 3 2 2      3387.6806235350    1.913e-05     84    24       R+
   0 1 0 13 0 13    3391.1261487959    1.905e-05    114    38       R-
   0 1 0 13 1 13    3391.1307883375    3.123e-05     80    33       R-
   0 2 0 3 2 1      3392.7492969538    1.235e-05    124    32       R+
   0 0 0 16 3 13    3437.2772353765    1.826e-04     93    31       R-
   0 2 0 4 1 3      3438.5749708705    1.859e-05     88    25       R+
   0 0 0 16 4 13    3439.3066162113    1.656e-04    165    34       R+
   0 1 0 11 3 8     3441.0395256934    1.007e-05    175    40       R+
   0 0 0 15 6 10    3443.1918961116    1.825e-04    103    31       R-
   0 0 0 14 8 7     3464.8874412377    4.088e-05    143    36       R-
   0 0 0 14 8 6     3465.0694203178    2.143e-04     83    25       R+
   0 0 0 15 6 9     3472.8813229003    1.101e-04    152    33       R-
   0 2 0 5 0 5      3478.9864491138    1.813e-05    123    32       R+
   0 2 0 4 2 3      3482.0644523703    1.961e-05    148    27       R+
   0 2 0 5 1 5      3482.4801228340    1.254e-05     92    25       R+
   0 1 0 11 4 8     3487.3992337657    1.142e-05    116    31       R-
   0 2 0 4 2 2      3495.9391812670    1.200e-05     88    23       R+
   0 2 0 3 3 1      3500.5106278575    1.254e-05     68    21       R+
   0 2 0 3 3 0      3500.6386312505    1.382e-05     99    25       R+
   0 0 0 12 11 2    3512.4041262057    8.447e-05    107    28       R-
   0 0 0 12 11 1    3512.4041272057    8.515e-05    107    19       R-
   0 1 0 9 7 3      3526.6248397894    1.948e-05     90    30       R+
   0 1 0 9 7 2      3526.6274379222    1.706e-05    142    36       R+
   0 1 0 8 8 1      3530.9574844440    1.652e-05     87    32       R+
   0 1 0 8 8 0      3530.9574874440    2.002e-05     83    19       R+
   0 1 0 11 4 7     3535.8704455226    1.856e-05    190    38       R+
   0 1 0 10 6 5     3564.7049664770    1.210e-05    160    35       R+
   0 1 0 10 6 4     3565.0034660456    2.002e-05     92    27       R+
   0 2 0 5 1 4      3565.4546098505    1.759e-05    133    28       R+
   0 0 0 17 2 15    3567.1737816272    1.168e-04    126    33       R-
   0 0 0 17 3 15    3567.2542042592    2.468e-04     82    28       R-
   0 0 0 13 10 4    3583.3742348431    1.597e-04    104    22       R-
   0 0 0 13 10 3    3583.3743328431    1.207e-04    117    31       R-
   0 1 0 12 2 10    3587.6666432482    1.860e-05    109    29       R+
   0 1 0 12 3 10    3592.4239063105    1.501e-05    168    41       R+
   0 2 0 4 3 2      3597.8660029483    1.449e-05    137    25       R+
   0 2 0 5 2 4      3598.5158781796    1.148e-05    101    21       R+
   0 2 0 4 3 1      3598.7269285717    1.451e-05     87    21       R+
   0 2 0 6 0 6      3600.0522730065    2.523e-05     92    27       R+
   0 2 0 6 1 6      3601.8588499650    1.482e-05    131    28       R+
   0 0 0 16 4 12    3623.7644971366    2.458e-04     82    25       R-
   0 0 0 15 7 9     3624.1810829077    2.443e-04     79    23       R-
   0 2 0 5 2 3      3626.9221357413    1.393e-05    125    25       R+
   0 0 0 15 7 8     3629.0965453045    1.898e-04    155    30       R+
   0 0 0 16 5 12    3639.5384766874    6.194e-04    140    29       R+
   0 0 0 18 2 17    3647.4603146293    3.393e-04    116    34       R-
   0 0 0 18 1 17    3647.4605635457    3.299e-04     76    27       R-
   0 1 0 11 5 7     3650.5090035920    1.662e-05    104    27       R+
