v1,v2,v3,J,Ka,Kc,E,unc
0,0,0,15,4,11,1681.789019,234.4
0,0,0,13,8,6,1686.524004,117.6
0,0,0,13,8,5,1686.529600,297.9
0,1,0,7,4,4,1689.029550,83.2
0,1,0,7,4,3,1689.763075,19.5
0,1,0,8,2,6,1690.049701,89.9
0,1,0,6,5,2,1691.996565,19.7
0,1,0,6,5,1,1692.001290,103.6
0,0,0,15,5,11,1708.909580,137.8
0,1,0,8,3,6,1714.233548,89.2
0,0,0,17,1,16,1721.988681,325.1
0,0,0,17,2,16,1721.993509,128.5
0,1,0,8,3,5,1729.778413,89.2
0,0,0,14,7,8,1732.725854,181.4
0,0,0,14,7,7,1733.033584,146.8
0,0,0,18,0,18,1739.206461,155.1
0,0,0,18,1,18,1739.207370,11.4
0,0,0,15,5,10,1740.156560,12.0
0,1,0,9,1,8,1743.953722,93.3
0,1,0,9,2,8,1746.179587,89.0
0,1,0,10,0,10,1758.334621,89.6
0,1,0,10,1,10,1758.373981,137.7
0,1,0,7,5,3,1778.637117,19.5
0,1,0,7,5,2,1778.664367,19.1
0,1,0,8,4,5,1788.346439,19.4
0,1,0,8,4,4,1790.386566,19.6
0,0,0,16,3,13,1794.577587,196.4
0,0,0,16,4,13,1797.572035,394.8
0,1,0,6,6,0,1799.654921,118.5
0,1,0,6,6,1,1799.654949,119.6
0,1,0,9,2,7,1805.609233,106.1
0,0,0,15,6,10,1807.753883,286.8
0,0,0,15,6,9,1814.511890,469.0
0,0,0,12,10,3,1821.149450,11.4
0,0,0,12,10,2,1821.149450,12.0
0,1,0,9,3,7,1823.164857,104.9
0,0,0,13,9,4,1827.729707,139.7
0,0,0,13,9,5,1827.729801,121.8
0,0,0,11,11,1,1837.326590,12.0
0,0,0,11,11,0,1837.326590,11.4
0,1,0,9,3,6,1848.615567,96.8
0,1,0,10,1,9,1856.499963,113.1
0,1,0,10,2,9,1857.686011,119.4
0,0,0,14,8,7,1859.100215,108.3
0,0,0,14,8,6,1859.118479,104.3
0,0,0,17,2,15,1866.355100,494.7
0,0,0,17,3,15,1866.480015,121.1
0,1,0,11,0,11,1868.880732,167.7
0,1,0,11,1,11,1868.898984,133.8
0,1,0,8,5,4,1877.805685,104.3
0,1,0,8,5,3,1877.917404,96.8
0,0,0,16,4,12,1884.004519,179.4
0,1,0,7,6,2,1886.246589,130.3
0,1,0,7,6,1,1886.246782,124.4
0,1,0,9,4,6,1900.004870,93.6
0,0,0,16,5,12,1903.194809,457.3
0,1,0,9,4,5,1904.779707,94.6
0,0,0,18,1,17,1909.618619,156.6
0,0,0,18,2,17,1909.620373,260.9
0,0,0,15,7,9,1917.933788,120.6
0,0,0,15,7,8,1918.685815,181.6
0,0,0,19,1,19,1926.536734,254.9
