v1  v2  v3  v4  l4  v5  l5  k  J   ef  op     Energy        Unc       NumTrans  u/g  Sym
0   0   0   0   0   0   0   0  39  e   ortho  1831.613925   0.000513  44        g    sigma_g_plus
0   0   0   1   1   1   1   2  20  e   ortho  1838.339709   0.000403  53        u    delta_u
0   0   0   1   1   0   0   1  32  f   ortho  1856.487231   0.000775  38        g    pi_g
0   0   0   3   1   0   0   1  1   e   ortho  1856.947677   0.001495  6         g    pi_g
0   0   0   3   1   0   0   1  2   f   ortho  1861.711939   0.001280  12        g    pi_g
0   0   0   0   0   2   2   2  18  f   ortho  1861.917560   0.000633  47        g    delta_g
0   0   0   3   3   0   0   3  3   e   ortho  1865.533509   0.001605  5         g    phi_g
0   0   0   3   1   0   0   1  3   e   ortho  1868.702371   0.001250  16        g    pi_g
0   0   0   3   3   0   0   3  4   f   ortho  1874.973050   0.000779  10        g    phi_g
0   0   0   2   2   0   0   2  23  e   ortho  1877.027746   0.000531  29        g    delta_g
0   0   0   3   1   0   0   1  4   f   ortho  1878.314567   0.000731  16        g    pi_g
0   0   0   2   0   0   0   0  23  e   ortho  1883.003894   0.000453  26        g    sigma_g_plus
0   0   0   1   1   1   -1  0  21  f   ortho  1885.383080   0.001021  33        u    sigma_u_minus
0   0   0   3   3   0   0   3  5   e   ortho  1886.770857   0.001184  10        g    phi_g
0   0   0   1   1   1   1   2  21  f   ortho  1887.535966   0.000413  50        u    delta_u
0   0   0   3   1   0   0   1  5   e   ortho  1889.863417   0.001099  19        g    pi_g
0   0   0   0   0   2   0   0  19  e   ortho  1897.378791   0.000265  45        g    sigma_g_plus
0   0   0   0   0   1   1   1  31  f   ortho  1899.202057   0.000537  40        u    pi_u
0   0   0   3   3   0   0   3  6   f   ortho  1900.927335   0.000644  9         g    phi_g
0   0   0   3   1   0   0   1  6   f   ortho  1904.407692   0.000561  18        g    pi_g
0   0   0   0   0   2   2   2  19  e   ortho  1907.081742   0.000588  40        g    delta_g
0   0   0   3   3   0   0   3  7   e   ortho  1917.437443   0.000984  12        g    phi_g
0   0   0   3   1   0   0   1  7   e   ortho  1920.435520   0.000618  21        g    pi_g
0   0   0   1   1   1   -1  0  22  e   ortho  1924.525608   0.000308  45        u    sigma_u_plus
0   0   0   1   1   0   0   1  33  e   ortho  1928.343379   0.000790  35        g    pi_g
0   0   0   2   2   0   0   2  24  f   ortho  1935.656134   0.000630  28        g    delta_g
0   0   0   3   3   0   0   3  8   f   ortho  1936.309141   0.000749  11        g    phi_g
0   0   0   1   1   1   1   2  22  e   ortho  1939.805472   0.000381  48        u    delta_u
0   0   0   3   1   0   0   1  8   f   ortho  1939.994314   0.000559  23        g    pi_g
0   0   0   2   2   1   -1  1  1   f   ortho  1942.371328   0.001005  9         u    pi_u
0   0   0   2   2   1   -1  1  2   e   ortho  1947.067713   0.000793  17        u    pi_u
0   0   0   0   0   2   2   2  20  f   ortho  1953.917291   0.000641  43        g    delta_g
0   0   0   2   2   1   -1  1  3   f   ortho  1954.227774   0.000745  20        u    pi_u
0   0   0   3   3   0   0   3  9   e   ortho  1957.520108   0.001015  11        g    phi_g
0   0   0   3   1   0   0   1  9   e   ortho  1960.426676   0.000626  20        g    pi_g
0   0   0   2   0   1   1   1  1   f   ortho  1962.052115   0.002470  6         u    pi_u
0   0   0   2   2   1   -1  1  4   e   ortho  1963.558563   0.000656  20        u    pi_u
0   0   0   2   0   1   1   1  2   e   ortho  1966.788296   0.001036  15        u    pi_u
0   0   0   0   0   1   1   1  32  e   ortho  1969.657637   0.000452  49        u    pi_u
0   0   0   2   0   1   1   1  3   f   ortho  1973.850976   0.001496  13        u    pi_u
0   0   0   2   2   1   -1  1  5   f   ortho  1975.567846   0.000493  25        u    pi_u
0   0   0   2   2   1   1   3  3   f   ortho  1976.101026   0.000815  14        u    phi_u
0   1   0   0   0   0   0   0  1   e   ortho  1976.656600   0.001314  6         g    sigma_g_plus
0   0   0   3   3   0   0   3  10  f   ortho  1981.110702   0.000813  11        g    phi_g
0   0   0   2   0   1   1   1  4   e   ortho  1983.344655   0.000916  21        u    pi_u
0   0   0   3   1   0   0   1  10  f   ortho  1985.076822   0.000643  21        g    pi_g
0   0   0   2   2   1   1   3  4   e   ortho  1985.547234   0.000412  21        u    phi_u
0   1   0   0   0   0   0   0  3   e   ortho  1988.361458   0.001649  7         g    sigma_g_plus
0   0   0   2   2   1   -1  1  6   e   ortho  1989.470205   0.000601  25        u    pi_u
